R,0.2838466167449951,RR,0.0,-0.031595706939697266
,0.28484106063842773,,0.0,-0.03173995018005371
,0.28484201431274414,,0.0,-0.033586740493774414
,0.5596506595611572,,0.0,-0.2838466167449951
,0.5586521625518799,,0.0,-0.28484201431274414
R,0.5647547245025635,RR,0.0,-0.2879526615142822
R,0.564624547958374,RR,0.0,-0.2848324775695801

R,0.566749095916748,RR,0.0,-0.28595995903015137
,0.5616424083709717,,0.0,-0.28284597396850586
R,0.5677468776702881,RR,0.0,-0.28595995903015137
,0.560645580291748,,0.0,-0.2818484306335449
,0.5616443157196045,,0.0,-0.28284716606140137
R,0.5626430511474609,RR,0.0,-0.2838466167449951
,0.5616424083709717,,0.0,-0.28484106063842773
R,0.5643272399902344,RR,0.0,-0.2855641841888428
R,0.175933837890625,R,210.92282032966614,210.3621747493744
R,0.18590712547302246,R,210.923819065094,210.3621747493744
R,0.18590712547302246,R,210.923819065094,210.36516690254211
R,0.1857929229736328,RR,210.92116117477417,210.35441207885742

R,0.1863393783569336,R,210.9238157272339,210.36217331886292
R,0.18365693092346191,RR,210.92329716682434,210.35555028915405
R,0.18733000755310059,R,210.9238257408142,210.36417508125305

R,0.18983101844787598,RR,210.92132472991943,210.35868167877197
R,0.1863393783569336,R,210.9238157272339,210.36217331886292
R,0.18337750434875488,RR,210.92350816726685,210.3591809272766
R,0.18364191055297852,RR,210.92056250572205,210.3589165210724
L,0.24203824996948242,RL,0.3839387893676758,0.19803166389465332
L,0.24104094505310059,RL,0.3849360942840576,0.20900225639343262
L,0.2420973777770996,RL,0.3897261619567871,0.2039332389831543
L,0.28409242630004883,RL,0.3895721435546875,0.20591521263122559
L,0.28670501708984375,RL,0.38394689559936523,0.19760751724243164
L,0.28509998321533203,RL,0.3859286308288574,0.19859862327575684
L,0.28509998321533203,RL,0.3884296417236328,0.19859862327575684
L,0.2855052947998047,RL,0.3879363536834717,0.2045588493347168
L,0.2855052947998047,RL,0.3889334201812744,0.20591521263122559
L,0.2855052947998047,RL,0.3882007598876953,0.2045588493347168
L,0.28508949279785156,RL,0.3895721435546875,0.20591521263122559
R,0.006612062454223633,LR,0.34571242332458496,0.06061244010925293
R,0.006612062454223633,LR,0.34670352935791016,0.06119823455810547
R,0.011039972305297852,LR,0.343280553817749,0.1012423038482666
R,0.011041402816772461,LR,0.3432791233062744,0.10223817825317383
R,0.006612062454223633,LR,0.34670352935791016,0.06119823455810547
R,0.010602474212646484,LR,0.34868550300598145,0.10658812522888184
R,0.01359415054321289,LR,0.34670352935791016,0.06261110305786133
